TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, CS1, CS1_ERROR, CS2, CS2_ERROR, CS3, CS3_ERROR, CS4, CS4_ERROR, CS5, CS5_ERROR, CS6, CS6_ERROR, CS7, CS7_ERROR, CS8, CS8_ERROR, CS9, CS9_ERROR, CS10, CS10_ERROR, CS11, CS11_ERROR, CS12, CS12_ERROR, CS13, CS13_ERROR, CS14, CS14_ERROR, CS15, CS15_ERROR, CS16, CS16_ERROR, CS17, CS17_ERROR, CS18, CS18_ERROR, CS19, CS19_ERROR, CS20, CS20_ERROR, CS21, CS21_ERROR, CS22, CS22_ERROR, CS23, CS23_ERROR, CS24, CS24_ERROR, CS25, CS25_ERROR, CS26, CS26_ERROR, CS27, CS27_ERROR, CS28, CS28_ERROR, CS29, CS29_ERROR, CS30, CS30_ERROR, CS31, CS31_ERROR, CS32, CS32_ERROR, CS33, CS33_ERROR, CS34, CS34_ERROR, CS35, CS35_ERROR, CS36, CS36_ERROR, CS37, CS37_ERROR, CS38, CS38_ERROR, CS39, CS39_ERROR, CS40, CS40_ERROR, CS41, CS41_ERROR, CS42, CS42_ERROR, CS43, CS43_ERROR, CS44, CS44_ERROR, CS45, CS45_ERROR, CS46, CS46_ERROR, CS47, CS47_ERROR, CS48, CS48_ERROR, CS49, CS49_ERROR, CS50, CS50_ERROR, CS51, CS51_ERROR, CS52, CS52_ERROR, CS53, CS53_ERROR, CS54, CS54_ERROR, CS55, CS55_ERROR, CS56, CS56_ERROR, CS57, CS57_ERROR, CS58, CS58_ERROR, CS59, CS59_ERROR, CS60, CS60_ERROR
L1F2, 1, 2, 1, 0.97, 140, 2996.43, 461.175, 3161.93, 358.172, 1572.57, 309.742, 1524.07, 206.739, 213.786, 80.1686, 267.857, 80.3741, 338.214, 75.0267, 407.143, 76.6029, 422.143, 77.1621, 278.071, 62.538, 224.571, 56.196, 250.5, 59.338, 346.214, 69.6491, 346.286, 69.6707, 429.429, 77.6016, 473.214, 81.4555, 474.5, 81.5046, 482.5, 82.2131, 436, 78.1281, 514.072, 84.8469, 724.572, 100.727, 760.357, 103.175, 635.143, 94.2974, 728.429, 100.985, 972.5, 116.683, 884.072, 111.261, 513, 84.7467, 385.214, 73.437, 274.571, 62, 169.214, 48.6723, 88.7857, 35.2562, 32.5714, 21.3541, 0.785714, 3.31662, 0.142857, 1.41421, 0.214286, 1.73205, 0.285714, 2, 0.214285, 2.23607, 0.428571, 2.44949, 0.0714286, 1, 0.214286, 1.73205, 0.0714286, 1, 0.142857, 1.41421, 0.285714, 2, 0.142857, 1.41421, 0.142857, 1.41421, 0.0714286, 1, 0.285714, 2, 0.142857, 1.41421, 0, 0, 0.142857, 1.41421, 0.0714286, 1, 0.142857, 1.41421, 0, 0, 0.0714286, 1, 0.0714286, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F2, 1, 2, 1, 0.97, 140, 2996.43, 461.175, 3161.93, 358.172, 1572.57, 309.742, 1524.07, 206.739, 213.786, 80.1686, 267.857, 80.3741, 338.214, 75.0267, 407.143, 76.6029, 422.143, 77.1621, 278.071, 62.538, 224.571, 56.196, 250.5, 59.338, 346.214, 69.6491, 346.286, 69.6707, 429.429, 77.6016, 473.214, 81.4555, 474.5, 81.5046, 482.5, 82.2131, 436, 78.1281, 514.072, 84.8469, 724.572, 100.727, 760.357, 103.175, 635.143, 94.2974, 728.429, 100.985, 972.5, 116.683, 884.072, 111.261, 513, 84.7467, 385.214, 73.437, 274.571, 62, 169.214, 48.6723, 88.7857, 35.2562, 32.5714, 21.3541, 0.785714, 3.31662, 0.142857, 1.41421, 0.214286, 1.73205, 0.285714, 2, 0.214285, 2.23607, 0.428571, 2.44949, 0.0714286, 1, 0.214286, 1.73205, 0.0714286, 1, 0.142857, 1.41421, 0.285714, 2, 0.142857, 1.41421, 0.142857, 1.41421, 0.0714286, 1, 0.285714, 2, 0.142857, 1.41421, 0, 0, 0.142857, 1.41421, 0.0714286, 1, 0.142857, 1.41421, 0, 0, 0.0714286, 1, 0.0714286, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F3, 1, 3, 1, 4.6, 28, 8606.8, 246.96, 8172.46, 204.575, 3671.08, 163.117, 6050, 148.593, 1776.79, 74.9867, 2029.28, 78.9303, 2556.43, 86.0232, 2828.22, 89.2469, 3107.14, 93.3916, 2383.93, 81.713, 1604.29, 67.0225, 1911.43, 73.1574, 2515.71, 83.9285, 3325.72, 96.5299, 2821.07, 88.8763, 4777.86, 115.663, 3350.71, 96.8607, 5148.57, 120.067, 3469.29, 98.5597, 4513.93, 112.423, 4726.43, 115.039, 7337.85, 143.346, 4525, 112.561, 5909.29, 128.631, 5752.86, 126.917, 7006.79, 140.068, 3317.14, 96.3742, 2461.07, 83.012, 1589.64, 66.7158, 956.071, 51.7397, 449.643, 35.4824, 226.071, 25.1595, 10.7143, 5.47723, 7.5, 4.58258, 8.92857, 5, 5.35714, 3.87298, 7.85714, 4.69041, 8.21429, 4.79583, 6.07143, 4.3589, 8.21429, 4.79583, 4.28571, 3.4641, 5, 3.74166, 5.35714, 3.87298, 6.78571, 4.3589, 6.07143, 4.12311, 2.85714, 2.82843, 6.42857, 4.24264, 6.07143, 4.12311, 4.64286, 3.60555, 5.35714, 3.87298, 4.28571, 3.4641, 3.92857, 3.31662, 1.07143, 1.73205, 0.714286, 1.41421, 0.714286, 1.41421, 0.357143, 1, 0.357143, 1, 0, 0, 0, 0, 0, 0
L1F3, 1, 3, 1, 4.6, 28, 8606.8, 246.96, 8172.46, 204.575, 3671.08, 163.117, 6050, 148.593, 1776.79, 74.9867, 2029.28, 78.9303, 2556.43, 86.0232, 2828.22, 89.2469, 3107.14, 93.3916, 2383.93, 81.713, 1604.29, 67.0225, 1911.43, 73.1574, 2515.71, 83.9285, 3325.72, 96.5299, 2821.07, 88.8763, 4777.86, 115.663, 3350.71, 96.8607, 5148.57, 120.067, 3469.29, 98.5597, 4513.93, 112.423, 4726.43, 115.039, 7337.85, 143.346, 4525, 112.561, 5909.29, 128.631, 5752.86, 126.917, 7006.79, 140.068, 3317.14, 96.3742, 2461.07, 83.012, 1589.64, 66.7158, 956.071, 51.7397, 449.643, 35.4824, 226.071, 25.1595, 10.7143, 5.47723, 7.5, 4.58258, 8.92857, 5, 5.35714, 3.87298, 7.85714, 4.69041, 8.21429, 4.79583, 6.07143, 4.3589, 8.21429, 4.79583, 4.28571, 3.4641, 5, 3.74166, 5.35714, 3.87298, 6.78571, 4.3589, 6.07143, 4.12311, 2.85714, 2.82843, 6.42857, 4.24264, 6.07143, 4.12311, 4.64286, 3.60555, 5.35714, 3.87298, 4.28571, 3.4641, 3.92857, 3.31662, 1.07143, 1.73205, 0.714286, 1.41421, 0.714286, 1.41421, 0.357143, 1, 0.357143, 1, 0, 0, 0, 0, 0, 0
L1F4, 1, 4, 1, 10.5, 12, 23964.2, 211.298, 14444.2, 160.453, 7766.63, 126.901, 14102.5, 138.12, 4823.33, 78.0128, 5446.66, 82.3043, 6926.66, 91.6842, 7270.83, 93.4933, 8492.5, 100.96, 6430, 87.8408, 4305, 71.8749, 5266.67, 79.4985, 6370, 87.43, 10016.7, 109.636, 7192.5, 92.9032, 14095, 130.054, 8590.84, 101.543, 15785.9, 137.641, 9319.17, 105.75, 12420, 122.082, 11649.2, 118.233, 21006.7, 158.77, 11665.8, 118.317, 16160.8, 139.259, 14322.5, 131.099, 18225.8, 147.888, 8370.83, 100.225, 6400.83, 87.6413, 3980.83, 69.1158, 2636.67, 56.2495, 1355, 40.3237, 730.833, 29.6142, 48.3333, 7.61577, 38.3333, 6.78233, 45, 7.34847, 36.6667, 6.63325, 44.1667, 7.28011, 41.6667, 7.07107, 40.8333, 7, 39.1667, 6.85566, 35.8333, 6.55744, 36.6667, 6.78233, 37.5, 6.7082, 50, 7.74597, 36.6667, 6.63325, 20.8333, 5, 26.6667, 5.65686, 23.3333, 5.2915, 17.5, 4.58258, 21.6667, 5.09902, 18.3333, 4.69041, 20, 4.89898, 10, 3.4641, 6.66667, 2.82843, 8.33333, 3.16228, 5, 2.44949, 2.5, 1.73205, 3.33333, 2, 0, 0, 1.66667, 1.41421
L1F4, 1, 4, 1, 10.5, 12, 23964.2, 211.298, 14444.2, 160.453, 7766.63, 126.901, 14102.5, 138.12, 4823.33, 78.0128, 5446.66, 82.3043, 6926.66, 91.6842, 7270.83, 93.4933, 8492.5, 100.96, 6430, 87.8408, 4305, 71.8749, 5266.67, 79.4985, 6370, 87.43, 10016.7, 109.636, 7192.5, 92.9032, 14095, 130.054, 8590.84, 101.543, 15785.9, 137.641, 9319.17, 105.75, 12420, 122.082, 11649.2, 118.233, 21006.7, 158.77, 11665.8, 118.317, 16160.8, 139.259, 14322.5, 131.099, 18225.8, 147.888, 8370.83, 100.225, 6400.83, 87.6413, 3980.83, 69.1158, 2636.67, 56.2495, 1355, 40.3237, 730.833, 29.6142, 48.3333, 7.61577, 38.3333, 6.78233, 45, 7.34847, 36.6667, 6.63325, 44.1667, 7.28011, 41.6667, 7.07107, 40.8333, 7, 39.1667, 6.85566, 35.8333, 6.55744, 36.6667, 6.78233, 37.5, 6.7082, 50, 7.74597, 36.6667, 6.63325, 20.8333, 5, 26.6667, 5.65686, 23.3333, 5.2915, 17.5, 4.58258, 21.6667, 5.09902, 18.3333, 4.69041, 20, 4.89898, 10, 3.4641, 6.66667, 2.82843, 8.33333, 3.16228, 5, 2.44949, 2.5, 1.73205, 3.33333, 2, 0, 0, 1.66667, 1.41421
L1F7, 1, 7, 1, 36, 10, 55974, 265.695, 26758, 185.602, 16014, 147.973, 29980, 178.55, 11199, 106.972, 12342, 112.134, 16287, 127.941, 16814, 129.7, 19680, 140.3, 15455, 124.342, 9833, 99.1615, 12307, 110.955, 14852, 121.869, 23725, 154.042, 15849, 125.893, 33848, 183.978, 19396, 139.27, 37792, 194.407, 21336, 146.068, 29067, 170.49, 26220, 161.926, 49373, 222.2, 25880, 160.873, 37314, 193.168, 32128, 179.248, 42159, 205.331, 19062, 138.065, 14246, 119.357, 9155, 95.6818, 5795, 76.1249, 2752, 52.4595, 1472, 38.3667, 140, 11.8322, 147, 12.1244, 148, 12.1655, 136, 11.6619, 140, 11.8322, 144, 12, 143, 11.9583, 164, 12.8062, 134, 11.5758, 128, 11.3137, 129, 11.3578, 147, 12.1244, 117, 10.8167, 101, 10.0499, 93, 9.64365, 99, 9.94987, 77, 8.77496, 84, 9.16515, 66, 8.12404, 57, 7.54983, 41, 6.40312, 28, 5.2915, 24, 4.89898, 13, 3.60555, 12, 3.4641, 4, 2, 1, 1, 5, 2.23607
L1F7, 1, 7, 1, 36, 10, 55974, 265.695, 26758, 185.602, 16014, 147.973, 29980, 178.55, 11199, 106.972, 12342, 112.134, 16287, 127.941, 16814, 129.7, 19680, 140.3, 15455, 124.342, 9833, 99.1615, 12307, 110.955, 14852, 121.869, 23725, 154.042, 15849, 125.893, 33848, 183.978, 19396, 139.27, 37792, 194.407, 21336, 146.068, 29067, 170.49, 26220, 161.926, 49373, 222.2, 25880, 160.873, 37314, 193.168, 32128, 179.248, 42159, 205.331, 19062, 138.065, 14246, 119.357, 9155, 95.6818, 5795, 76.1249, 2752, 52.4595, 1472, 38.3667, 140, 11.8322, 147, 12.1244, 148, 12.1655, 136, 11.6619, 140, 11.8322, 144, 12, 143, 11.9583, 164, 12.8062, 134, 11.5758, 128, 11.3137, 129, 11.3578, 147, 12.1244, 117, 10.8167, 101, 10.0499, 93, 9.64365, 99, 9.94987, 77, 8.77496, 84, 9.16515, 66, 8.12404, 57, 7.54983, 41, 6.40312, 28, 5.2915, 24, 4.89898, 13, 3.60555, 12, 3.4641, 4, 2, 1, 1, 5, 2.23607
L1REF, 1, 11, 1, 0, 10, 115003, 357.213, 30745, 195.261, 18464, 158.669, 31784, 186.086, 12903, 114.556, 13783, 118.436, 16641, 129.402, 16485, 128.503, 20679, 143.837, 15980, 126.444, 9941, 99.7046, 12322, 111.005, 14740, 121.408, 22694, 150.652, 15730, 125.419, 32438, 180.106, 19056, 138.043, 33852, 183.989, 19886, 141.018, 27202, 164.93, 25328, 159.148, 47260, 217.394, 24801, 157.483, 34193, 184.913, 32591, 180.53, 47596, 218.165, 24154, 155.416, 20391, 142.797, 14829, 121.774, 12101, 110.005, 7539, 86.8274, 5759, 75.8881, 419, 20.4695, 173, 13.1529, 131, 11.4455, 122, 11.0454, 122, 11.0454, 138, 11.7473, 128, 11.3137, 123, 11.0905, 122, 11.0454, 125, 11.1803, 109, 10.4403, 120, 10.9545, 100, 10, 84, 9.16515, 102, 10.0995, 92, 9.59166, 66, 8.12404, 76, 8.7178, 65, 8.06226, 68, 8.24621, 42, 6.48074, 42, 6.48074, 29, 5.38516, 30, 5.47723, 20, 4.47214, 14, 3.74166, 9, 3, 6, 2.44949
L1REF, 1, 11, 1, 0, 10, 115003, 357.213, 30745, 195.261, 18464, 158.669, 31784, 186.086, 12903, 114.556, 13783, 118.436, 16641, 129.402, 16485, 128.503, 20679, 143.837, 15980, 126.444, 9941, 99.7046, 12322, 111.005, 14740, 121.408, 22694, 150.652, 15730, 125.419, 32438, 180.106, 19056, 138.043, 33852, 183.989, 19886, 141.018, 27202, 164.93, 25328, 159.148, 47260, 217.394, 24801, 157.483, 34193, 184.913, 32591, 180.53, 47596, 218.165, 24154, 155.416, 20391, 142.797, 14829, 121.774, 12101, 110.005, 7539, 86.8274, 5759, 75.8881, 419, 20.4695, 173, 13.1529, 131, 11.4455, 122, 11.0454, 122, 11.0454, 138, 11.7473, 128, 11.3137, 123, 11.0905, 122, 11.0454, 125, 11.1803, 109, 10.4403, 120, 10.9545, 100, 10, 84, 9.16515, 102, 10.0995, 92, 9.59166, 66, 8.12404, 76, 8.7178, 65, 8.06226, 68, 8.24621, 42, 6.48074, 42, 6.48074, 29, 5.38516, 30, 5.47723, 20, 4.47214, 14, 3.74166, 9, 3, 6, 2.44949
L1F2, 1, 2, 1, 0.97, 140, 2996.43, 461.175, 3161.93, 358.172, 1572.57, 309.742, 1524.07, 206.739, 213.786, 80.1686, 267.857, 80.3741, 338.214, 75.0267, 407.143, 76.6029, 422.143, 77.1621, 278.071, 62.538, 224.571, 56.196, 250.5, 59.338, 346.214, 69.6491, 346.286, 69.6707, 429.429, 77.6016, 473.214, 81.4555, 474.5, 81.5046, 482.5, 82.2131, 436, 78.1281, 514.072, 84.8469, 724.572, 100.727, 760.357, 103.175, 635.143, 94.2974, 728.429, 100.985, 972.5, 116.683, 884.072, 111.261, 513, 84.7467, 385.214, 73.437, 274.571, 62, 169.214, 48.6723, 88.7857, 35.2562, 32.5714, 21.3541, 0.785714, 3.31662, 0.142857, 1.41421, 0.214286, 1.73205, 0.285714, 2, 0.214285, 2.23607, 0.428571, 2.44949, 0.0714286, 1, 0.214286, 1.73205, 0.0714286, 1, 0.142857, 1.41421, 0.285714, 2, 0.142857, 1.41421, 0.142857, 1.41421, 0.0714286, 1, 0.285714, 2, 0.142857, 1.41421, 0, 0, 0.142857, 1.41421, 0.0714286, 1, 0.142857, 1.41421, 0, 0, 0.0714286, 1, 0.0714286, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F2, 1, 2, 1, 0.97, 140, 2996.43, 461.175, 3161.93, 358.172, 1572.57, 309.742, 1524.07, 206.739, 213.786, 80.1686, 267.857, 80.3741, 338.214, 75.0267, 407.143, 76.6029, 422.143, 77.1621, 278.071, 62.538, 224.571, 56.196, 250.5, 59.338, 346.214, 69.6491, 346.286, 69.6707, 429.429, 77.6016, 473.214, 81.4555, 474.5, 81.5046, 482.5, 82.2131, 436, 78.1281, 514.072, 84.8469, 724.572, 100.727, 760.357, 103.175, 635.143, 94.2974, 728.429, 100.985, 972.5, 116.683, 884.072, 111.261, 513, 84.7467, 385.214, 73.437, 274.571, 62, 169.214, 48.6723, 88.7857, 35.2562, 32.5714, 21.3541, 0.785714, 3.31662, 0.142857, 1.41421, 0.214286, 1.73205, 0.285714, 2, 0.214285, 2.23607, 0.428571, 2.44949, 0.0714286, 1, 0.214286, 1.73205, 0.0714286, 1, 0.142857, 1.41421, 0.285714, 2, 0.142857, 1.41421, 0.142857, 1.41421, 0.0714286, 1, 0.285714, 2, 0.142857, 1.41421, 0, 0, 0.142857, 1.41421, 0.0714286, 1, 0.142857, 1.41421, 0, 0, 0.0714286, 1, 0.0714286, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L1F3, 1, 3, 1, 4.6, 28, 8606.8, 246.96, 8172.46, 204.575, 3671.08, 163.117, 6050, 148.593, 1776.79, 74.9867, 2029.28, 78.9303, 2556.43, 86.0232, 2828.22, 89.2469, 3107.14, 93.3916, 2383.93, 81.713, 1604.29, 67.0225, 1911.43, 73.1574, 2515.71, 83.9285, 3325.72, 96.5299, 2821.07, 88.8763, 4777.86, 115.663, 3350.71, 96.8607, 5148.57, 120.067, 3469.29, 98.5597, 4513.93, 112.423, 4726.43, 115.039, 7337.85, 143.346, 4525, 112.561, 5909.29, 128.631, 5752.86, 126.917, 7006.79, 140.068, 3317.14, 96.3742, 2461.07, 83.012, 1589.64, 66.7158, 956.071, 51.7397, 449.643, 35.4824, 226.071, 25.1595, 10.7143, 5.47723, 7.5, 4.58258, 8.92857, 5, 5.35714, 3.87298, 7.85714, 4.69041, 8.21429, 4.79583, 6.07143, 4.3589, 8.21429, 4.79583, 4.28571, 3.4641, 5, 3.74166, 5.35714, 3.87298, 6.78571, 4.3589, 6.07143, 4.12311, 2.85714, 2.82843, 6.42857, 4.24264, 6.07143, 4.12311, 4.64286, 3.60555, 5.35714, 3.87298, 4.28571, 3.4641, 3.92857, 3.31662, 1.07143, 1.73205, 0.714286, 1.41421, 0.714286, 1.41421, 0.357143, 1, 0.357143, 1, 0, 0, 0, 0, 0, 0
L1F3, 1, 3, 1, 4.6, 28, 8606.8, 246.96, 8172.46, 204.575, 3671.08, 163.117, 6050, 148.593, 1776.79, 74.9867, 2029.28, 78.9303, 2556.43, 86.0232, 2828.22, 89.2469, 3107.14, 93.3916, 2383.93, 81.713, 1604.29, 67.0225, 1911.43, 73.1574, 2515.71, 83.9285, 3325.72, 96.5299, 2821.07, 88.8763, 4777.86, 115.663, 3350.71, 96.8607, 5148.57, 120.067, 3469.29, 98.5597, 4513.93, 112.423, 4726.43, 115.039, 7337.85, 143.346, 4525, 112.561, 5909.29, 128.631, 5752.86, 126.917, 7006.79, 140.068, 3317.14, 96.3742, 2461.07, 83.012, 1589.64, 66.7158, 956.071, 51.7397, 449.643, 35.4824, 226.071, 25.1595, 10.7143, 5.47723, 7.5, 4.58258, 8.92857, 5, 5.35714, 3.87298, 7.85714, 4.69041, 8.21429, 4.79583, 6.07143, 4.3589, 8.21429, 4.79583, 4.28571, 3.4641, 5, 3.74166, 5.35714, 3.87298, 6.78571, 4.3589, 6.07143, 4.12311, 2.85714, 2.82843, 6.42857, 4.24264, 6.07143, 4.12311, 4.64286, 3.60555, 5.35714, 3.87298, 4.28571, 3.4641, 3.92857, 3.31662, 1.07143, 1.73205, 0.714286, 1.41421, 0.714286, 1.41421, 0.357143, 1, 0.357143, 1, 0, 0, 0, 0, 0, 0
L1F4, 1, 4, 1, 10.5, 12, 23964.2, 211.298, 14444.2, 160.453, 7766.63, 126.901, 14102.5, 138.12, 4823.33, 78.0128, 5446.66, 82.3043, 6926.66, 91.6842, 7270.83, 93.4933, 8492.5, 100.96, 6430, 87.8408, 4305, 71.8749, 5266.67, 79.4985, 6370, 87.43, 10016.7, 109.636, 7192.5, 92.9032, 14095, 130.054, 8590.84, 101.543, 15785.9, 137.641, 9319.17, 105.75, 12420, 122.082, 11649.2, 118.233, 21006.7, 158.77, 11665.8, 118.317, 16160.8, 139.259, 14322.5, 131.099, 18225.8, 147.888, 8370.83, 100.225, 6400.83, 87.6413, 3980.83, 69.1158, 2636.67, 56.2495, 1355, 40.3237, 730.833, 29.6142, 48.3333, 7.61577, 38.3333, 6.78233, 45, 7.34847, 36.6667, 6.63325, 44.1667, 7.28011, 41.6667, 7.07107, 40.8333, 7, 39.1667, 6.85566, 35.8333, 6.55744, 36.6667, 6.78233, 37.5, 6.7082, 50, 7.74597, 36.6667, 6.63325, 20.8333, 5, 26.6667, 5.65686, 23.3333, 5.2915, 17.5, 4.58258, 21.6667, 5.09902, 18.3333, 4.69041, 20, 4.89898, 10, 3.4641, 6.66667, 2.82843, 8.33333, 3.16228, 5, 2.44949, 2.5, 1.73205, 3.33333, 2, 0, 0, 1.66667, 1.41421
L1F4, 1, 4, 1, 10.5, 12, 23964.2, 211.298, 14444.2, 160.453, 7766.63, 126.901, 14102.5, 138.12, 4823.33, 78.0128, 5446.66, 82.3043, 6926.66, 91.6842, 7270.83, 93.4933, 8492.5, 100.96, 6430, 87.8408, 4305, 71.8749, 5266.67, 79.4985, 6370, 87.43, 10016.7, 109.636, 7192.5, 92.9032, 14095, 130.054, 8590.84, 101.543, 15785.9, 137.641, 9319.17, 105.75, 12420, 122.082, 11649.2, 118.233, 21006.7, 158.77, 11665.8, 118.317, 16160.8, 139.259, 14322.5, 131.099, 18225.8, 147.888, 8370.83, 100.225, 6400.83, 87.6413, 3980.83, 69.1158, 2636.67, 56.2495, 1355, 40.3237, 730.833, 29.6142, 48.3333, 7.61577, 38.3333, 6.78233, 45, 7.34847, 36.6667, 6.63325, 44.1667, 7.28011, 41.6667, 7.07107, 40.8333, 7, 39.1667, 6.85566, 35.8333, 6.55744, 36.6667, 6.78233, 37.5, 6.7082, 50, 7.74597, 36.6667, 6.63325, 20.8333, 5, 26.6667, 5.65686, 23.3333, 5.2915, 17.5, 4.58258, 21.6667, 5.09902, 18.3333, 4.69041, 20, 4.89898, 10, 3.4641, 6.66667, 2.82843, 8.33333, 3.16228, 5, 2.44949, 2.5, 1.73205, 3.33333, 2, 0, 0, 1.66667, 1.41421
L1F7, 1, 7, 1, 36, 10, 55974, 265.695, 26758, 185.602, 16014, 147.973, 29980, 178.55, 11199, 106.972, 12342, 112.134, 16287, 127.941, 16814, 129.7, 19680, 140.3, 15455, 124.342, 9833, 99.1615, 12307, 110.955, 14852, 121.869, 23725, 154.042, 15849, 125.893, 33848, 183.978, 19396, 139.27, 37792, 194.407, 21336, 146.068, 29067, 170.49, 26220, 161.926, 49373, 222.2, 25880, 160.873, 37314, 193.168, 32128, 179.248, 42159, 205.331, 19062, 138.065, 14246, 119.357, 9155, 95.6818, 5795, 76.1249, 2752, 52.4595, 1472, 38.3667, 140, 11.8322, 147, 12.1244, 148, 12.1655, 136, 11.6619, 140, 11.8322, 144, 12, 143, 11.9583, 164, 12.8062, 134, 11.5758, 128, 11.3137, 129, 11.3578, 147, 12.1244, 117, 10.8167, 101, 10.0499, 93, 9.64365, 99, 9.94987, 77, 8.77496, 84, 9.16515, 66, 8.12404, 57, 7.54983, 41, 6.40312, 28, 5.2915, 24, 4.89898, 13, 3.60555, 12, 3.4641, 4, 2, 1, 1, 5, 2.23607
L1F7, 1, 7, 1, 36, 10, 55974, 265.695, 26758, 185.602, 16014, 147.973, 29980, 178.55, 11199, 106.972, 12342, 112.134, 16287, 127.941, 16814, 129.7, 19680, 140.3, 15455, 124.342, 9833, 99.1615, 12307, 110.955, 14852, 121.869, 23725, 154.042, 15849, 125.893, 33848, 183.978, 19396, 139.27, 37792, 194.407, 21336, 146.068, 29067, 170.49, 26220, 161.926, 49373, 222.2, 25880, 160.873, 37314, 193.168, 32128, 179.248, 42159, 205.331, 19062, 138.065, 14246, 119.357, 9155, 95.6818, 5795, 76.1249, 2752, 52.4595, 1472, 38.3667, 140, 11.8322, 147, 12.1244, 148, 12.1655, 136, 11.6619, 140, 11.8322, 144, 12, 143, 11.9583, 164, 12.8062, 134, 11.5758, 128, 11.3137, 129, 11.3578, 147, 12.1244, 117, 10.8167, 101, 10.0499, 93, 9.64365, 99, 9.94987, 77, 8.77496, 84, 9.16515, 66, 8.12404, 57, 7.54983, 41, 6.40312, 28, 5.2915, 24, 4.89898, 13, 3.60555, 12, 3.4641, 4, 2, 1, 1, 5, 2.23607
L1REF, 1, 11, 1, 0, 10, 115003, 357.213, 30745, 195.261, 18464, 158.669, 31784, 186.086, 12903, 114.556, 13783, 118.436, 16641, 129.402, 16485, 128.503, 20679, 143.837, 15980, 126.444, 9941, 99.7046, 12322, 111.005, 14740, 121.408, 22694, 150.652, 15730, 125.419, 32438, 180.106, 19056, 138.043, 33852, 183.989, 19886, 141.018, 27202, 164.93, 25328, 159.148, 47260, 217.394, 24801, 157.483, 34193, 184.913, 32591, 180.53, 47596, 218.165, 24154, 155.416, 20391, 142.797, 14829, 121.774, 12101, 110.005, 7539, 86.8274, 5759, 75.8881, 419, 20.4695, 173, 13.1529, 131, 11.4455, 122, 11.0454, 122, 11.0454, 138, 11.7473, 128, 11.3137, 123, 11.0905, 122, 11.0454, 125, 11.1803, 109, 10.4403, 120, 10.9545, 100, 10, 84, 9.16515, 102, 10.0995, 92, 9.59166, 66, 8.12404, 76, 8.7178, 65, 8.06226, 68, 8.24621, 42, 6.48074, 42, 6.48074, 29, 5.38516, 30, 5.47723, 20, 4.47214, 14, 3.74166, 9, 3, 6, 2.44949
L1REF, 1, 11, 1, 0, 10, 115003, 357.213, 30745, 195.261, 18464, 158.669, 31784, 186.086, 12903, 114.556, 13783, 118.436, 16641, 129.402, 16485, 128.503, 20679, 143.837, 15980, 126.444, 9941, 99.7046, 12322, 111.005, 14740, 121.408, 22694, 150.652, 15730, 125.419, 32438, 180.106, 19056, 138.043, 33852, 183.989, 19886, 141.018, 27202, 164.93, 25328, 159.148, 47260, 217.394, 24801, 157.483, 34193, 184.913, 32591, 180.53, 47596, 218.165, 24154, 155.416, 20391, 142.797, 14829, 121.774, 12101, 110.005, 7539, 86.8274, 5759, 75.8881, 419, 20.4695, 173, 13.1529, 131, 11.4455, 122, 11.0454, 122, 11.0454, 138, 11.7473, 128, 11.3137, 123, 11.0905, 122, 11.0454, 125, 11.1803, 109, 10.4403, 120, 10.9545, 100, 10, 84, 9.16515, 102, 10.0995, 92, 9.59166, 66, 8.12404, 76, 8.7178, 65, 8.06226, 68, 8.24621, 42, 6.48074, 42, 6.48074, 29, 5.38516, 30, 5.47723, 20, 4.47214, 14, 3.74166, 9, 3, 6, 2.44949
