Collimator,Length,Width,Area,Area_Error,Region_A,Region_A_Error,Region_B,Region_B_Error,Region_C,Region_C_Error,Region_D,Region_D_Error
L1phi2,1,2, 0.97, 0.15,9150,30,1972,12,10030,30,3.6,0.5
L1phi3,1,3, 4.6, 0.4,28200,100,14740,70,77400,170,126,7
L1phi4,1,4, 10.5, 0.6,62000,200,39440,180,209600,400,720,20
L1phi7,1,7, 36, 1.4,131100,400,91900,300,483100,700,2510,50
L1phi11,1,11,,,196300,400,96500,300,504100,700,2910,50
L3phi2,3,2, 1.09, 0.12,634,6,148,3,982,7,0.31,0.13
L3phi3,3,3, 5.5, 0.2,127,7,4270,40,22700,100,40,4
L3phi4,3,4, 10.4, 0.3,2800,50,13790,110,75100,300,163,12
L3phi7,3,7, 34.9, 0.9,63200,300,51000,300,281100,600,1020,40
L3phi11,3,11,,,105500,300,76500,300,426500,700,1350,40
L7phi2,7,2, 0.62, 0.08,285.6,1.7,21.4,0.5,113.3,1.1,0,0
L7phi3,7,3, 6.1, 0.15,2610,20,1205,14,6420,30,7.4,1.1
L7phi4,7,4, 10.3, 0.4,4900,50,3318,40,17910,90,29,4
L7phi7,7,7, 34.6, 0.8,23250,110,18100,100,104400,200,250,11
L7phi11,7,11,,,89100,300,49800,200,284600,500,740,30
L20phi2,20,2, 1.17, 0.1,185.8,1.1,6.9,0.2,32.2,0.5,-0.01986,0
L20phi3,20,3, 6.33, 0.14,2113,6,119.9,1.5,580,3,0.70,0.11
L20phi4,20,4, 9.4, 0.2,575,10,399,8,2275,19,1.2,0.4
L20phi7,20,7, 35.5, 1.1,2948,18,2753,17,15030,40,8,1
L20phi11,20,11,,,14120,120,15940,130,98900,300,152,12