collimator_length, collimator_phi, collimator_area, collimator_area_error, incident_angle_mean, incident_angle_stdev, num_electron, num_alpha
1, 2, 0.97, 0.15, 28.0179, 14.2589, 191, 916
1, 3, 4.6, 0.4, 37.5686, 16.2336, 2021, 9777
1, 4, 10.5, 0.6, 39.9378, 16.685, 5948, 27743
1, 7, 36, 1.4, 42.5027, 17.1329, 15939, 69116
3, 2, 1.09, 0.12, 18.4533, 16.6699, 78, 162
3, 3, 5.5, 0.2, 24.4879, 14.3729, 819, 3122
3, 4, 10.4, 0.3, 28.5223, 14.8309, 2515, 9356
3, 7, 34.9, 0.9, 32.7838, 15.4029, 8910, 32450
7, 2, 0.62, 0.08, 12.9867, 18.5206, 6, 16
7, 3, 6.1, 0.15, 16.182, 14.5921, 250, 824
7, 4, 10.3, 0.4, 19.0264, 15.6711, 706, 2173
7, 7, 34.6, 0.8, 23.046, 14.7408, 3402, 10685
20, 2, 1.17, 0.1, 2.06085, 0.4551, 0, 4
20, 3, 6.33, 0.14, 9.74442, 15.1659, 22, 109
20, 4, 9.4, 0.2, 9.93468, 15.4733, 41, 235
20, 7, 35.5, 1.1, 14.8203, 16.2698, 534, 1656