num, output_file, collimator_length, collimator_area, screen, distance_alpide_and_collimator
1, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_noscreen.root, 1., 0.97, false,2.
2, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_noscreen.root, 1., 4.6, false,2.
3, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_noscreen.root, 1., 10.5, false,2.
4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_noscreen.root, 1., 36, false,2.
5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_screen.root, 1., 0.97, true,2.
6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_screen.root, 1., 4.6, true,2.
7, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_screen.root, 1., 10.5, true,2.
8, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_screen.root, 1., 36, true,2.
9, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_noscreen.root,3., 1.09, false,2.
10, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_noscreen.root,3., 5.5, false,2.
11, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_noscreen.root,3., 10.4, false,2.
12, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_noscreen.root,3., 34.9, false,2.
13, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_screen.root,3., 1.09, true,2.
14, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_screen.root,3., 5.5, true,2.
15, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_screen.root,3., 10.4, true,2.
16, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_screen.root,3., 34.9, true,2.
17, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_noscreen.root,7., 0.62, false,2.
18, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_noscreen.root,7., 6.1, false,2.
19, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_noscreen.root,7., 10.3, false,2.
20, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_noscreen.root,7., 34.6, false,2.
21, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_screen.root,7., 0.62, true,2.
22, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_screen.root,7., 6.1, true,2.
23, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_screen.root,7., 10.3, true,2.
24, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_screen.root,7., 34.6, true,2.
25, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_noscreen.root,20., 1.17, false,2.
26, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_noscreen.root,20., 6.33, false,2.
27, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_noscreen.root,20., 9.4, false,2.
28, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_noscreen.root,20., 35.5, false,2.
29, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_screen.root,20., 1.17, true,2.
30, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_screen.root,20., 6.33, true,2.
31, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_screen.root,20., 9.4, true,2.
32, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_screen.root,20., 35.5, true,2.
33, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_noscreen.root, 1., 95.03, false,2.
34, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_screen.root, 1., 95.03, true,2.
35, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_noscreen.root, 3., 95.03, false,4.
36, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_screen.root, 3., 95.03, true,4.
37, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_noscreen.root, 7., 95.03, false,8.
38, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_screen.root, 7., 95.03, true,8.
39, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_noscreen.root, 20., 95.03, false,21.
40, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_screen.root, 20., 95.03, true,21.