num, output_file, collimator_length, collimator_area, screen, distance_alpide_and_collimator,n_event
1, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_noscreen.root, 1., 0.97, false,2.,860000
2, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_noscreen.root, 1., 4.6, false,2.,860000
3, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_noscreen.root, 1., 10.5, false,2.,860000
4, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_noscreen.root, 1., 36, false,2.,860000
5, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_2phi_alpha_screen.root, 1., 0.97, true,2.,860000
6, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_3phi_alpha_screen.root, 1., 4.6, true,2.,860000
7, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_4phi_alpha_screen.root, 1., 10.5, true,2.,860000
8, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_7phi_alpha_screen.root, 1., 36, true,2.,860000
9, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_noscreen.root,3., 1.09, false,2.,860000
10, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_noscreen.root,3., 5.5, false,2.,860000
11, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_noscreen.root,3., 10.4, false,2.,860000
12, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_noscreen.root,3., 34.9, false,2.,860000
13, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_2phi_alpha_screen.root,3., 1.09, true,2.,860000
14, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_3phi_alpha_screen.root,3., 5.5, true,2.,860000
15, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_4phi_alpha_screen.root,3., 10.4, true,2.,860000
16, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_7phi_alpha_screen.root,3., 34.9, true,2.,860000
17, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_noscreen.root,7., 0.62, false,2.,860000
18, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_noscreen.root,7., 6.1, false,2.,860000
19, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_noscreen.root,7., 10.3, false,2.,860000
20, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_noscreen.root,7., 34.6, false,2.,860000
21, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_2phi_alpha_screen.root,7., 0.62, true,2.,860000
22, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_3phi_alpha_screen.root,7., 6.1, true,2.,860000
23, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_4phi_alpha_screen.root,7., 10.3, true,2.,860000
24, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_7phi_alpha_screen.root,7., 34.6, true,2.,860000
25, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_noscreen.root,20., 1.17, false,2.,3870000
26, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_noscreen.root,20., 6.33, false,2.,3870000
27, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_noscreen.root,20., 9.4, false,2.,3870000
28, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_noscreen.root,20., 35.5, false,2.,3870000
29, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_2phi_alpha_screen.root,20., 1.17, true,2.,3870000
30, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_3phi_alpha_screen.root,20., 6.33, true,2.,3870000
31, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_4phi_alpha_screen.root,20., 9.4, true,2.,3870000
32, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_7phi_alpha_screen.root,20., 35.5, true,2.,3870000
33, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_noscreen.root, 1., 95.03, false,2.,860000
34, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_1mm_nocollimator_screen.root, 1., 95.03, true,2.,860000
35, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_noscreen.root,1., 95.03, false,4.,860000
36, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_3mm_nocollimator_screen.root,1., 95.03, true,4.,860000
37, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_noscreen.root,1., 95.03, false,8.,860000
38, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_7mm_nocollimator_screen.root,1., 95.03, true,8.,860000
39, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_noscreen.root,1., 95.03, false,21.,860000
40, /mnt/homes/ychoi/entry_test/geant4/geant_simulation_20mm_nocollimator_screen.root,1., 95.03, true,21.,860000
41, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W082.root,1.,0.82,false,2.,258000
42, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W085.root,1.,0.85,false,2.,258000
43, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W088.root,1.,0.88,false,2.,258000
44, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W091.root,1.,0.91,false,2.,258000
45, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W094.root,1.,0.94,false,2.,258000
46, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W097.root,1.,0.97,false,2.,258000
47, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W100.root,1.,1.00,false,2.,258000
48, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W103.root,1.,1.03,false,2.,258000
49, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W106.root,1.,1.06,false,2.,258000
50, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W109.root,1.,1.09,false,2.,258000
51, /mnt/homes/ychoi/entry_test/geant4/systematic/SL1F2AX_W112.root,1.,1.12,false,2.,258000